Experiment_ID,Phase,Model_Family,Model,Feature_Space,Feature_Count,Weighting,Graph_Context,Graph_Direction,Depth,Seed,Train_Timesteps,Val_Timesteps,Test_Timesteps,Validation_F1,Validation_PR_AUC,Test_F1,Test_PR_AUC,Test_Precision,Test_Recall,Test_MCC,Status,Recommended_Paper_Section,Notes
EXP_031,Phase 2 (Baselines),Neural Network,MLP,Local Only (93),93,Standard,None (Tabular),None (Tabular),2 Dense,42,1–34,35–39,40–49,0.9055,0.8986,0.5834,0.4785,0.5983,0.5692,0.5591,ABLATION,Section 5 (Feature Space Analysis),Conventional baseline run (Seed 42)
EXP_032,Phase 2 (Baselines),Neural Network,MLP,Local Only (93),93,Standard,None (Tabular),None (Tabular),2 Dense,123,1–34,35–39,40–49,0.8816,0.8846,0.5798,0.4426,0.5859,0.5739,0.5548,ABLATION,Section 5 (Feature Space Analysis),Conventional baseline run (Seed 123)
EXP_033,Phase 2 (Baselines),Neural Network,MLP,Local Only (93),93,Standard,None (Tabular),None (Tabular),2 Dense,456,1–34,35–39,40–49,0.8858,0.8746,0.5368,0.3484,0.5524,0.522,0.5099,ABLATION,Section 5 (Feature Space Analysis),Conventional baseline run (Seed 456)
EXP_034,Phase 2 (Baselines),Neural Network,MLP,Local Only (93),93,Standard,None (Tabular),None (Tabular),2 Dense,789,1–34,35–39,40–49,0.8926,0.9022,0.5673,0.4242,0.5784,0.5566,0.5419,ABLATION,Section 5 (Feature Space Analysis),Conventional baseline run (Seed 789)
EXP_035,Phase 2 (Baselines),Neural Network,MLP,Local Only (93),93,Standard,None (Tabular),None (Tabular),2 Dense,999,1–34,35–39,40–49,0.8905,0.897,0.5632,0.3474,0.593,0.5362,0.539,ABLATION,Section 5 (Feature Space Analysis),Conventional baseline run (Seed 999)
EXP_036,Phase 2 (Baselines),Neural Network,MLP,Local Only (93),93,Weighted,None (Tabular),None (Tabular),2 Dense,42,1–34,35–39,40–49,0.9014,0.8738,0.5528,0.3441,0.5816,0.5267,0.528,ABLATION,Section 5 (Feature Space Analysis),Conventional baseline run (Seed 42)
EXP_037,Phase 2 (Baselines),Neural Network,MLP,Local Only (93),93,Weighted,None (Tabular),None (Tabular),2 Dense,123,1–34,35–39,40–49,0.8596,0.8226,0.4997,0.2897,0.4443,0.5708,0.4696,ABLATION,Section 5 (Feature Space Analysis),Conventional baseline run (Seed 123)
EXP_038,Phase 2 (Baselines),Neural Network,MLP,Local Only (93),93,Weighted,None (Tabular),None (Tabular),2 Dense,456,1–34,35–39,40–49,0.872,0.8556,0.4893,0.2857,0.4628,0.5189,0.4574,ABLATION,Section 5 (Feature Space Analysis),Conventional baseline run (Seed 456)
EXP_039,Phase 2 (Baselines),Neural Network,MLP,Local Only (93),93,Weighted,None (Tabular),None (Tabular),2 Dense,789,1–34,35–39,40–49,0.8691,0.8505,0.4824,0.2653,0.4303,0.5487,0.4509,ABLATION,Section 5 (Feature Space Analysis),Conventional baseline run (Seed 789)
EXP_040,Phase 2 (Baselines),Neural Network,MLP,Local Only (93),93,Weighted,None (Tabular),None (Tabular),2 Dense,999,1–34,35–39,40–49,0.8936,0.8977,0.5879,0.3983,0.6627,0.5283,0.5701,ABLATION,Section 5 (Feature Space Analysis),Conventional baseline run (Seed 999)
EXP_041,Phase 2 (Baselines),Linear Model,Logistic Regression,Full Features (165),165,Standard,None (Tabular),None (Tabular),N/A,42,1–34,35–39,40–49,0.5921,0.4826,0.4015,0.2754,0.3821,0.423,0.364,MAIN_RESULT,Section 4 (Main Model Comparison),Conventional baseline run (Seed 42)
EXP_042,Phase 2 (Baselines),Linear Model,Logistic Regression,Full Features (165),165,Standard,None (Tabular),None (Tabular),N/A,123,1–34,35–39,40–49,0.5921,0.4826,0.4015,0.2754,0.3821,0.423,0.364,MAIN_RESULT,Section 4 (Main Model Comparison),Conventional baseline run (Seed 123)
EXP_043,Phase 2 (Baselines),Linear Model,Logistic Regression,Full Features (165),165,Standard,None (Tabular),None (Tabular),N/A,456,1–34,35–39,40–49,0.5921,0.4826,0.4015,0.2754,0.3821,0.423,0.364,MAIN_RESULT,Section 4 (Main Model Comparison),Conventional baseline run (Seed 456)
EXP_044,Phase 2 (Baselines),Linear Model,Logistic Regression,Full Features (165),165,Standard,None (Tabular),None (Tabular),N/A,789,1–34,35–39,40–49,0.5921,0.4826,0.4015,0.2754,0.3821,0.423,0.364,MAIN_RESULT,Section 4 (Main Model Comparison),Conventional baseline run (Seed 789)
