run_id,model,weighting,feature_mode,feature_space,num_features,seed,optimal_threshold,val_illicit_f1,val_pr_auc,val_illicit_precision,val_illicit_recall,val_roc_auc,test_illicit_f1,test_pr_auc,test_illicit_precision,test_illicit_recall,test_macro_f1,test_roc_auc,test_mcc,test_accuracy,test_tp,test_fp,test_tn,test_fn
25,XGBoost,Standard,local,Local Only (93),93,999,0.6,0.9210836277974087,0.952832394189933,0.972636815920398,0.8747203579418344,0.988761707895418,0.6773584905660377,0.6561401630627189,0.8466981132075472,0.5644654088050315,0.8306540904116091,0.8787927843485187,0.6770092401261084,0.9694206008583691,359,65,10483,277
26,XGBoost,Weighted,local,Local Only (93),93,42,0.92,0.9210526315789473,0.9549379503252683,0.9897172236503856,0.8612975391498882,0.9892391915763976,0.69,0.6591832118616572,0.9478021978021978,0.5424528301886793,0.8377461624859603,0.8724653157890971,0.7056132725092116,0.9722818311874106,345,19,10529,291
27,XGBoost,Weighted,local,Local Only (93),93,123,0.84,0.9205607476635514,0.9558684707351922,0.9633251833740831,0.8814317673378076,0.9895823760351584,0.6691588785046729,0.6589529528744684,0.8248847926267281,0.5628930817610063,0.8262687997556701,0.8760291378376897,0.6663393805618592,0.9683476394849786,358,76,10472,278
28,XGBoost,Weighted,local,Local Only (93),93,456,0.9,0.9192399049881235,0.9525366938029342,0.979746835443038,0.8657718120805369,0.9883161896491482,0.6842105263157895,0.659501903701349,0.9,0.5518867924528302,0.8345145968660759,0.8749777149323964,0.6920233504411216,0.971030042918455,351,39,10509,285
29,XGBoost,Weighted,local,Local Only (93),93,789,0.84,0.9203747072599532,0.9546788995918326,0.9656019656019657,0.8791946308724832,0.9889776965618955,0.6660482374768089,0.650014305439505,0.8122171945701357,0.5644654088050315,0.8245694451827446,0.8761084398842787,0.6616075814791976,0.9678111587982833,359,83,10465,277
30,XGBoost,Weighted,local,Local Only (93),93,999,0.83,0.9254079254079254,0.9551968007559885,0.9659367396593674,0.8881431767337807,0.9883952153071812,0.6684931506849315,0.6575656763497377,0.7973856209150327,0.5754716981132075,0.825714633444285,0.8724747068209301,0.6614960324650023,0.9675429184549357,366,93,10455,270
31,MLP,Standard,local,Local Only (93),93,42,0.4,0.9055299539170507,0.8985535293820845,0.9334916864608076,0.8791946308724832,0.984235713115551,0.5834004834810637,0.4785414054311664,0.5983471074380166,0.5691823899371069,0.7794647137431825,0.8601502445842069,0.5591411599281361,0.9537732474964234,362,243,10305,274
32,MLP,Standard,local,Local Only (93),93,123,0.29,0.8816234498308907,0.8845847489137934,0.8886363636363637,0.8747203579418344,0.9756161448531432,0.5798252581413821,0.44260130073010906,0.5858747993579454,0.5738993710691824,0.7773824286822311,0.8421926538877083,0.5548008986254179,0.9527002861230329,365,258,10290,271
33,MLP,Standard,local,Local Only (93),93,456,0.4,0.8858131487889274,0.8746312375242716,0.9142857142857143,0.8590604026845637,0.9833025000077694,0.5367825383993533,0.34844814470912416,0.5524126455906821,0.5220125786163522,0.7548329898943906,0.8382860591772144,0.5099176957679763,0.9487660944206009,332,269,10279,304
34,MLP,Standard,local,Local Only (93),93,789,0.43,0.8925619834710744,0.9021900946535688,0.945,0.8456375838926175,0.9837655548466924,0.5673076923076923,0.4241552088954819,0.5784313725490197,0.5566037735849056,0.7708697552447552,0.8468517981888127,0.5418619190571738,0.9517167381974249,354,258,10290,282
35,MLP,Standard,local,Local Only (93),93,999,0.36,0.8904593639575972,0.8970210438822731,0.9402985074626866,0.8456375838926175,0.9838761019750643,0.5631709331131296,0.34735364227647836,0.5930434782608696,0.5361635220125787,0.7690836940935502,0.8389203264859295,0.5389990921864358,0.9527002861230329,341,234,10314,295
36,MLP,Weighted,local,Local Only (93),93,42,0.82,0.9014084507042254,0.873800459886377,0.9481481481481482,0.8590604026845637,0.9830973884683806,0.5528052805280528,0.3440524511339069,0.5815972222222222,0.5267295597484277,0.7635930354237919,0.850088350231228,0.5279759541348178,0.9515379113018598,335,241,10307,301
37,MLP,Weighted,local,Local Only (93),93,123,0.59,0.8595744680851064,0.8225608052910549,0.8194726166328601,0.9038031319910514,0.9760578894022598,0.49965588437715075,0.2896701995502611,0.44430844553243576,0.5707547169811321,0.7324480712825271,0.8405247022893845,0.46964980712337995,0.9349964234620887,363,454,10094,273
38,MLP,Weighted,local,Local Only (93),93,456,0.79,0.8720271800679502,0.8555948786116417,0.8830275229357798,0.8612975391498882,0.9814001126781574,0.4892512972572276,0.28566835698822596,0.4628330995792426,0.5188679245283019,0.7282357157107775,0.832814068898572,0.45742936893881925,0.9383941344778255,330,383,10165,306
39,MLP,Weighted,local,Local Only (93),93,789,0.68,0.8690744920993227,0.8505072240016106,0.876993166287016,0.8612975391498882,0.9816891334836597,0.4823773324118867,0.2653231347259406,0.43033292231812575,0.5487421383647799,0.7232879922419837,0.8330513787823499,0.45091305871747417,0.9330293276108726,349,462,10086,287
40,MLP,Weighted,local,Local Only (93),93,999,0.82,0.8935672514619883,0.8977097410774112,0.9362745098039216,0.854586129753915,0.9851258616793485,0.5879265091863517,0.39829156514034725,0.6627218934911243,0.5283018867924528,0.7828678482327518,0.8483683007658313,0.5700744175482044,0.9578862660944206,336,171,10377,300
41,Logistic Regression,Standard,full,Full Features (165),165,42,0.77,0.5921192758253461,0.48259071864806324,0.5650406504065041,0.6219239373601789,0.9320645719539716,0.4014925373134328,0.2754407143127624,0.3821022727272727,0.4229559748427673,0.6816764569770513,0.8603778653081569,0.36398788709758695,0.9282904148783977,269,435,10113,367
42,Logistic Regression,Standard,full,Full Features (165),165,123,0.77,0.5921192758253461,0.48259071864806324,0.5650406504065041,0.6219239373601789,0.9320645719539716,0.4014925373134328,0.2754407143127624,0.3821022727272727,0.4229559748427673,0.6816764569770513,0.8603778653081569,0.36398788709758695,0.9282904148783977,269,435,10113,367
43,Logistic Regression,Standard,full,Full Features (165),165,456,0.77,0.5921192758253461,0.48259071864806324,0.5650406504065041,0.6219239373601789,0.9320645719539716,0.4014925373134328,0.2754407143127624,0.3821022727272727,0.4229559748427673,0.6816764569770513,0.8603778653081569,0.36398788709758695,0.9282904148783977,269,435,10113,367
44,Logistic Regression,Standard,full,Full Features (165),165,789,0.77,0.5921192758253461,0.48259071864806324,0.5650406504065041,0.6219239373601789,0.9320645719539716,0.4014925373134328,0.2754407143127624,0.3821022727272727,0.4229559748427673,0.6816764569770513,0.8603778653081569,0.36398788709758695,0.9282904148783977,269,435,10113,367
